entity_id,entity_type,entity_name,registration_id,state,district,village,latitude,longitude,season_year,crop_season,record_created_year,is_historical,landholding_size_ha,farmer_category,irrigation_type,tenure_type,farm_area_ha,sugarcane_variety,sowing_month,harvest_month,yield_tonnes,yield_per_ha,mill_id,cane_supplied_tonnes,recovery_rate_percent,FRP_rate,SAP_rate,payment_due_amount,payment_received_amount,payment_delay_days,residue_type,residue_quantity_tonnes,disposal_method,RMA_id,estimated_CO2e_avoided,estimated_gross_income,estimated_net_income,average_loan_amount_region,repayment_rate_region,subsidy_presence,data_source_name,data_source_type,data_collection_method,data_confidence_level,last_known_publication_year
MILL_STATE_ANDHRA_PRADESH,Mill,All Registered Mills (State Aggregate) - Andhra Pradesh,,Andhra Pradesh,STATE_AGG,,,,2014-15,Annual,2026,True,,,,,,,,,,,MILL_STATE_ANDHRA_PRADESH,6014000.0,9.38,220.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_ANDHRA_PRADESH,Mill,All Registered Mills (State Aggregate) - Andhra Pradesh,,Andhra Pradesh,STATE_AGG,,,,2015-16,Annual,2026,True,,,,,,,,,,,MILL_STATE_ANDHRA_PRADESH,5894000.0,9.35,230.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_ANDHRA_PRADESH,Mill,All Registered Mills (State Aggregate) - Andhra Pradesh,,Andhra Pradesh,STATE_AGG,,,,2016-17,Annual,2026,True,,,,,,,,,,,MILL_STATE_ANDHRA_PRADESH,4117000.0,9.37,230.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_ANDHRA_PRADESH,Mill,All Registered Mills (State Aggregate) - Andhra Pradesh,,Andhra Pradesh,STATE_AGG,,,,2017-18,Annual,2026,True,,,,,,,,,,,MILL_STATE_ANDHRA_PRADESH,4992000.0,9.5,255.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_ANDHRA_PRADESH,Mill,All Registered Mills (State Aggregate) - Andhra Pradesh,,Andhra Pradesh,STATE_AGG,,,,2018-19,Annual,2026,True,,,,,,,,,,,MILL_STATE_ANDHRA_PRADESH,5408000.0,9.28,275.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_BIHAR,Mill,All Registered Mills (State Aggregate) - Bihar,,Bihar,STATE_AGG,,,,2014-15,Annual,2026,True,,,,,,,,,,,MILL_STATE_BIHAR,5743000.0,9.16,220.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_BIHAR,Mill,All Registered Mills (State Aggregate) - Bihar,,Bihar,STATE_AGG,,,,2015-16,Annual,2026,True,,,,,,,,,,,MILL_STATE_BIHAR,5150000.0,9.77,230.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_BIHAR,Mill,All Registered Mills (State Aggregate) - Bihar,,Bihar,STATE_AGG,,,,2016-17,Annual,2026,True,,,,,,,,,,,MILL_STATE_BIHAR,5711000.0,9.21,230.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_BIHAR,Mill,All Registered Mills (State Aggregate) - Bihar,,Bihar,STATE_AGG,,,,2017-18,Annual,2026,True,,,,,,,,,,,MILL_STATE_BIHAR,7462000.0,9.59,255.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
MILL_STATE_BIHAR,Mill,All Registered Mills (State Aggregate) - Bihar,,Bihar,STATE_AGG,,,,2018-19,Annual,2026,True,,,,,,,,,,,MILL_STATE_BIHAR,8102000.0,10.37,275.0,,,,,,,,,,,,,,,"Directorate of Sugarcane Development (DAC&FW) Ready Reckoner; Cooperative Sugar (Vol-52, No.8, Apr 2021)",Secondary,Statistical Compilation,High,2021.0
